,sample,sex,age,reg,ctg,size,moult,exp,prep,flag,type,qual,length,codeset,set
225,BFun,F,O,,19,,,regen,Luke,FALSE,O,?,7.7,phaw_2,new
226,BFreg,F,O,R,19,,,regen,Luke,FALSE,OR,?,7.7,phaw_2,new
227,BGun,F,O,,19,,,regen,Luke,FALSE,O,?,8.2,phaw_2,new
228,BGreg,F,O,R,19,,,regen,Luke,FALSE,OR,?,8.2,phaw_2,new
229,BHun,F,O,,20,,,regen,Luke,FALSE,O,?,8.8,phaw_2,new
230,BHreg,F,O,R,20,,,regen,Luke,FALSE,OR,?,8.8,phaw_2,new
231,BIun,F,O,,20,,,regen,Luke,FALSE,O,?,6.7,phaw_2,new
232,BIreg,F,O,R,20,,,regen,Luke,FALSE,OR,?,6.7,phaw_2,new
233,BJun,F,O,,20,,,regen,Luke,FALSE,O,?,7.8,phaw_2,new
234,BJreg,F,O,R,20,,,regen,Luke,FALSE,OR,?,7.8,phaw_2,new
235,BKun,F,O,,20,,,regen,Luke,FALSE,O,?,7.3,phaw_2,new
236,BKreg,F,O,R,20,,,regen,Luke,FALSE,OR,?,7.3,phaw_2,new
237,BLun,F,M,,20,,,regen,Luke,FALSE,M,?,6.5,phaw_2,new
238,BLreg,F,M,R,20,,,regen,Luke,FALSE,MR,?,6.5,phaw_2,new
239,BMun,F,O,,20,,,regen,Luke,FALSE,O,?,7.4,phaw_2,new
240,BMreg,F,O,R,20,,,regen,Luke,FALSE,OR,?,7.4,phaw_2,new
241,BNun,F,O,,21,,,regen,Luke,FALSE,O,?,7.5,phaw_2,new
242,BNreg,F,O,R,21,,,regen,Luke,FALSE,OR,?,7.5,phaw_2,new
243,BOun,F,O,,21,,,regen,Luke,FALSE,O,?,7.3,phaw_2,new
244,BOreg,F,O,R,21,,,regen,Luke,FALSE,OR,?,7.3,phaw_2,new
245,BPun,F,O,,21,,,regen,Luke,FALSE,O,?,8.2,phaw_2,new
246,BPreg,F,O,R,21,,,regen,Luke,FALSE,OR,?,8.2,phaw_2,new
